Bairro,Zona,Cidade,UF
Jardim Itápolis,Leste,São Paulo,SP
Jardim Itacolomi,Norte,São Paulo,SP
Jardim Itajai,Leste,São Paulo,SP
Jardim Itaoca,Leste,São Paulo,SP
Jardim Itapema,Leste,São Paulo,SP
Jardim Itapemirim,Sul,São Paulo,SP
Jardim Itapeva,Norte,São Paulo,SP
Jardim Itapura,Leste,São Paulo,SP
Jardim Itatiaia,Oeste,São Paulo,SP
Jardim Itatinga,Leste,São Paulo,SP
Jardim Iva,Norte,São Paulo,SP
Jardim Ivana,Oeste,São Paulo,SP
Jardim Ivone,Sul,São Paulo,SP
Jardim Jaçanã,Norte,São Paulo,SP
Jardim Jaú (Zona Leste),Leste,São Paulo,SP
Jardim Jaú (Zona Sul),Sul,São Paulo,SP
Jardim Jabaquara,Sul,São Paulo,SP
Jardim Jamaica,Leste,São Paulo,SP
Jardim Japão,Norte,São Paulo,SP
Jardim Jaqueline,Oeste,São Paulo,SP
Jardim Jaguará,Oeste,São Paulo,SP
Jardim Jaguará (Itaim Paulista),Leste,São Paulo,SP
Jardim Jaguará (São Domingos),Oeste,São Paulo,SP
Jardim João XXIII,Norte,São Paulo,SP
Jardim Joamar,Norte,São Paulo,SP
Jardim Joana D'Arc,Norte,São Paulo,SP
Jardim Jordão,Leste,São Paulo,SP
Jardim Jua,Sul,São Paulo,SP
Jardim Julieta,Sul,São Paulo,SP
Jardim Jurema,Norte,São Paulo,SP
Jardim Jussara,Oeste,São Paulo,SP
Jardim Kagohara,Norte,São Paulo,SP
Jardim Keralux,Leste,São Paulo,SP
Jardim Kika,Leste,São Paulo,SP
Jardim Kioto,Norte,São Paulo,SP
Jardim Líbano,Leste,São Paulo,SP
Jardim Labitary,Leste,São Paulo,SP
Jardim Lídia,Oeste,São Paulo,SP
Jardim Lajeado,Leste,São Paulo,SP
Jardim Lallo,Norte,São Paulo,SP
Jardim Lúcia,Sul,São Paulo,SP
Jardim Lúcio de Castro,Norte,São Paulo,SP
Jardim Laone,Norte,São Paulo,SP
Jardim Lapena,Leste,São Paulo,SP
Jardim Laura,Norte,São Paulo,SP
Jardim Leônidas Moreira,Leste,São Paulo,SP
Jardim Leila,Norte,São Paulo,SP
Jardim Leme,Norte,São Paulo,SP
Jardim Leni,Norte,São Paulo,SP
Jardim Leonardo,Norte,São Paulo,SP
Jardim Leonor,Oeste,São Paulo,SP
Jardim Leonor Mendes de Barros,Leste,São Paulo,SP
Jardim Letícia,Sul,São Paulo,SP
Jardim Lider,Leste,São Paulo,SP
Jardim Liderança,Norte,São Paulo,SP
Jardim Lilah,Norte,São Paulo,SP
Jardim Limoeiro,Norte,São Paulo,SP
Jardim Lisboa,Norte,São Paulo,SP
Jardim Londrina,Oeste,São Paulo,SP
Jardim Los Angeles,Sul,São Paulo,SP
Jardim Lourdes,Norte,São Paulo,SP
Jardim Lourdes (Zona Sul),Sul,São Paulo,SP
Jardim Luanda,Norte,São Paulo,SP
Jardim Luísa,Sul,São Paulo,SP
Jardim Lucélia,Norte,São Paulo,SP
Jardim Luciana,Sul,São Paulo,SP
Jardim Lucinda,Norte,São Paulo,SP
Jardim Luso,Leste,São Paulo,SP
Jardim Luzitânia,Sul,São Paulo,SP
Jardim Mália I,Oeste,São Paulo,SP
Jardim Mália II,Oeste,São Paulo,SP
Jardim Mônica,Leste,São Paulo,SP
Jardim Mabel,Sul,São Paulo,SP
Jardim Macedônia,Norte,São Paulo,SP
Jardim Machado,Norte,São Paulo,SP
Jardim Maggi,Norte,São Paulo,SP
Jardim Maia,Norte,São Paulo,SP
Jardim Mangalot,Oeste,São Paulo,SP
Jardim Marabá,Leste,São Paulo,SP
Jardim Marabá (Zona Sul),Sul,São Paulo,SP
Jardim Maracá,Leste,São Paulo,SP
Jardim Maracanã,Leste,São Paulo,SP
Jardim Marajoara,Sul,São Paulo,SP
Jardim Marília,Norte,São Paulo,SP
Jardim Marcel,Norte,São Paulo,SP
Jardim Marcelo,Norte,São Paulo,SP
Jardim Marco Paulo,Norte,São Paulo,SP
Jardim Margarida,Sul,São Paulo,SP
Jardim Maria Amália,Norte,São Paulo,SP
Jardim Maria Augusta,Norte,São Paulo,SP
Jardim Maria Duarte,Sul,São Paulo,SP
Jardim Maria Emília,Sul,São Paulo,SP
Jardim Maria Estela,Sul,São Paulo,SP
Jardim Maria Lídia,Sul,São Paulo,SP
Jardim Maria Lúcia,Norte,São Paulo,SP
Jardim Maria Luiza,Sul,São Paulo,SP
Jardim Maria Nazaré,Norte,São Paulo,SP
Jardim Maria Rita,Leste,São Paulo,SP
Jardim Maria Sampaio,Oeste,São Paulo,SP
Jardim Maria Virginia,Sul,São Paulo,SP
Jardim Mariane,Norte,São Paulo,SP
Jardim Marilda,Norte,São Paulo,SP
Jardim Mariliza,Norte,São Paulo,SP
Jardim Marilu,Norte,São Paulo,SP
Jardim Maringá,Norte,São Paulo,SP
Jardim Marisa,Norte,São Paulo,SP
Jardim Maristela,Norte,São Paulo,SP
Jardim Marpu,Norte,São Paulo,SP
Jardim Marquesa,Sul,São Paulo,SP
Jardim Martini,Norte,São Paulo,SP
Jardim Martinica,Norte,São Paulo,SP
Jardim Martins Silva,Norte,São Paulo,SP
Jardim Matarazzo,Leste,São Paulo,SP
Jardim Mazza,Norte,São Paulo,SP
Jardim Meliunas,Norte,São Paulo,SP
Jardim Melo,Norte,São Paulo,SP
Jardim Mimar,Sul,São Paulo,SP
Jardim Miragaia,Norte,São Paulo,SP
Jardim Mirante,Oeste,São Paulo,SP
Jardim Miriam,Sul,São Paulo,SP
Jardim Mitsutani,Oeste,São Paulo,SP
Jardim Modelo,Sul,São Paulo,SP
Jardim Monjolo,Norte,São Paulo,SP
Jardim Monte Alegre,Norte,São Paulo,SP
Jardim Monte Alegre (Zona Norte),Norte,São Paulo,SP
Jardim Monte Azul,Sul,São Paulo,SP
Jardim Monte Belo,Norte,São Paulo,SP
Jardim Monte Belo (Raposo Tavares),Oeste,São Paulo,SP
Jardim Monte Kemel,Oeste,São Paulo,SP
Jardim Monte Verde,Norte,São Paulo,SP
Jardim Morada do Sol,Norte,São Paulo,SP
Jardim Morais Prado,Oeste,São Paulo,SP
Jardim Moreno,Norte,São Paulo,SP
Jardim Morganti,Norte,São Paulo,SP
Jardim Morro Verde,Norte,São Paulo,SP
Jardim Morumbi,Oeste,São Paulo,SP
Jardim Mutinga,Norte,São Paulo,SP
Jardim Myrna,Norte,São Paulo,SP
Jardim Myrna II,Norte,São Paulo,SP
Jardim Nélia,Norte,São Paulo,SP
Jardim Nadir,Norte,São Paulo,SP
Jardim Nair,Norte,São Paulo,SP
Jardim Nakamura,Oeste,São Paulo,SP
Jardim Namba,Norte,São Paulo,SP
Jardim Naufal,Leste,São Paulo,SP
Jardim Nazareth,Norte,São Paulo,SP
Jardim Neide,Norte,São Paulo,SP
Jardim Neila,Norte,São Paulo,SP
Jardim Nelia IV,Norte,São Paulo,SP
Jardim Nelly,Norte,São Paulo,SP
Jardim Nice,Norte,São Paulo,SP
Jardim Ninho Verde II,Sul,São Paulo,SP
Jardim Niteroi,Norte,São Paulo,SP
Jardim Nizia,Norte,São Paulo,SP
Jardim Noemia,Norte,São Paulo,SP
Jardim Nordeste,Leste,São Paulo,SP
Jardim Norma,Norte,São Paulo,SP
Jardim Noronha,Norte,São Paulo,SP
Jardim Nossa Senhora Aparecida,Leste,São Paulo,SP
Jardim Nossa Senhora do Carmo,Leste,São Paulo,SP
Jardim Nosso Lar,Norte,São Paulo,SP
Jardim Nova Conquista,Sul,São Paulo,SP
Jardim Nova Germania,Norte,São Paulo,SP
Jardim Nova Guaianazes,Leste,São Paulo,SP
Jardim Nova Harmonia,Norte,São Paulo,SP
Jardim Nova São Paulo (São Rafael),Leste,São Paulo,SP
Jardim Nova Tereza,Norte,São Paulo,SP
Jardim Nova Vitória I,Leste,São Paulo,SP
Jardim Nova Vitória II,Leste,São Paulo,SP
Jardim Nove de Julho,Norte,São Paulo,SP
Jardim Novo Carrão,Leste,São Paulo,SP
Jardim Novo Horizonte,Norte,São Paulo,SP
Jardim Novo Horizonte (Zona Leste),Leste,São Paulo,SP
Jardim Novo Jaú,Norte,São Paulo,SP
Jardim Novo Lar,Norte,São Paulo,SP
Jardim Novo Mundo,Norte,São Paulo,SP
Jardim Novo Pantanal,Leste,São Paulo,SP
Jardim Novo Parelheiros,Sul,São Paulo,SP
Jardim Novo Santo Amaro,Sul,São Paulo,SP
Jardim Novo Taboão,Sul,São Paulo,SP
Jardim Odete,Norte,São Paulo,SP
Jardim Olinda,Leste,São Paulo,SP
Jardim Olympia,Oeste,São Paulo,SP
Jardim Ondina,Norte,São Paulo,SP
Jardim Orbam,Norte,São Paulo,SP
Jardim Oriental,Norte,São Paulo,SP
Jardim Oriental (Parelheiros),Sul,São Paulo,SP
Jardim Orly,Sul,São Paulo,SP
Jardim Pérola I,Norte,São Paulo,SP
Jardim Pérola II,Norte,São Paulo,SP
Jardim Pérola III,Norte,São Paulo,SP
Jardim Paineiras,Sul,São Paulo,SP
Jardim Palmares (Zona Norte),Norte,São Paulo,SP
Jardim Palmares (Zona Sul),Sul,São Paulo,SP
Jardim Panorama,Oeste,São Paulo,SP
Jardim Panorama (Zona Leste),Leste,São Paulo,SP
Jardim Panorama (Zona Sul),Sul,São Paulo,SP
Jardim Panorama D'Oeste,Oeste,São Paulo,SP
Jardim Pantanal,Leste,São Paulo,SP
Jardim Papai Noel,Norte,São Paulo,SP
Jardim Paquetá (Zona Norte),Norte,São Paulo,SP
Jardim Paquetá (Zona Sul),Sul,São Paulo,SP
Jardim Paraíso,Sul,São Paulo,SP
Jardim Paraguaçu,Norte,São Paulo,SP
Jardim Paraná,Norte,São Paulo,SP
Jardim Paris,Norte,São Paulo,SP
Jardim Parque Morumbi,Oeste,São Paulo,SP
Jardim Patente,Sul,São Paulo,SP
Jardim Patente Novo,Sul,São Paulo,SP
Jardim Paulista,Oeste,São Paulo,SP
Jardim Paulistano,Oeste,São Paulo,SP
Jardim Paulistano (Zona Norte),Norte,São Paulo,SP
Jardim Paulo Afonso,Sul,São Paulo,SP
Jardim Paulo VI,Norte,São Paulo,SP
Jardim Pedra Branca,Sul,São Paulo,SP
Jardim Pedro José Nunes,Norte,São Paulo,SP
Jardim Penha,Leste,São Paulo,SP
Jardim Pereira Leite,Oeste,São Paulo,SP
Jardim Peri,Norte,São Paulo,SP
Jardim Peri Novo,Norte,São Paulo,SP
Jardim Peri Peri,Norte,São Paulo,SP
Jardim Petrópolis,Sul,São Paulo,SP
Jardim Picolo,Sul,São Paulo,SP
Jardim Pinheirinho,Sul,São Paulo,SP
Jardim Pinheiros,Oeste,São Paulo,SP
Jardim Piqueroby,Oeste,São Paulo,SP
Jardim Piracuama,Oeste,São Paulo,SP
Jardim Pirajussara,Oeste,São Paulo,SP
Jardim Piratininga,Norte,São Paulo,SP
Jardim Pirituba,Norte,São Paulo,SP
Jardim Planalto,Leste,São Paulo,SP
Jardim Poleti,Norte,São Paulo,SP
Jardim Ponte Rasa,Leste,São Paulo,SP
Jardim Popular,Norte,São Paulo,SP
Jardim Portal I e II,Sul,São Paulo,SP
Jardim Porteira Grande,Norte,São Paulo,SP
Jardim Pouso Alegre,Norte,São Paulo,SP
Jardim Prainha,Sul,São Paulo,SP
Jardim Premiano,Leste,São Paulo,SP
Jardim Presidente,Norte,São Paulo,SP
Jardim Previdência,Sul,São Paulo,SP
Jardim Primavera (Zona Norte),Norte,São Paulo,SP
Jardim Primavera (Zona Sul),Sul,São Paulo,SP
Jardim Princesa,Norte,São Paulo,SP
Jardim Progresso,Norte,São Paulo,SP
Jardim Promissão,Norte,São Paulo,SP
Jardim Prudência,Leste,São Paulo,SP
Jardim Quarto Centenário,Sul,São Paulo,SP
Jardim Quisisana (Vila Nova Curuçá),Leste,São Paulo,SP
Jardim Ramala,Leste,São Paulo,SP
Jardim Raposo Tavares,Oeste,São Paulo,SP
Jardim Real,Norte,São Paulo,SP
Jardim Recanto do Sol,Norte,São Paulo,SP
Jardim Recanto Verde,Norte,São Paulo,SP
Jardim Record,Leste,São Paulo,SP
Jardim Recreio,Norte,São Paulo,SP
Jardim Redenção,Norte,São Paulo,SP
Jardim Redil,Sul,São Paulo,SP
Jardim Regina,Leste,São Paulo,SP
Jardim Regis,Norte,São Paulo,SP
Jardim Reimberg,Sul,São Paulo,SP
Jardim Remo,Oeste,São Paulo,SP
Jardim República,Norte,São Paulo,SP
Jardim Represa,Sul,São Paulo,SP
Jardim Represa (Parelheiros),Sul,São Paulo,SP
Jardim Ricardo,Norte,São Paulo,SP
Jardim Rincão,Leste,São Paulo,SP
Jardim Rio Bonito,Leste,São Paulo,SP
Jardim Rio Douro,Sul,São Paulo,SP
Jardim Rio Pequeno,Oeste,São Paulo,SP
Jardim Riviera,Sul,São Paulo,SP
Jardim Rizzo,Norte,São Paulo,SP
Jardim Robru,Leste,São Paulo,SP
Jardim Rodolfo Pirani,Norte,São Paulo,SP
Jardim Romano,Leste,São Paulo,SP
Jardim Roni,Norte,São Paulo,SP
Jardim Rosa Maria,Norte,São Paulo,SP
Jardim Rosana,Norte,São Paulo,SP
Jardim Roschel,Norte,São Paulo,SP
Jardim Roseli,Norte,São Paulo,SP
Jardim Rosina,Norte,São Paulo,SP
Jardim Rosinha,Norte,São Paulo,SP
Jardim Rossin,Norte,São Paulo,SP
Jardim Rubilene,Sul,São Paulo,SP
Jardim Rubio,Sul,São Paulo,SP
Jardim Russo,Norte,São Paulo,SP
Jardim Ruth,Norte,São Paulo,SP
Jardim S Kemel,Oeste,São Paulo,SP
Jardim Sônia (Zona Sul),Sul,São Paulo,SP
Jardim Sônia Inga,Norte,São Paulo,SP
Jardim Sônia Regina,Norte,São Paulo,SP
Jardim São Benedito,Norte,São Paulo,SP
Jardim São Bento,Norte,São Paulo,SP
Jardim São Bento Novo,Norte,São Paulo,SP
Jardim São Bernardo,Sul,São Paulo,SP
Jardim São Carlos (Zona Leste),Leste,São Paulo,SP
Jardim São Carlos (Zona Sul),Sul,São Paulo,SP
Jardim São Cristóvão,Norte,São Paulo,SP
Jardim São Francisco,Norte,São Paulo,SP
Jardim São Francisco (Zona Leste),Leste,São Paulo,SP
Jardim São Francisco de Assis,Sul,São Paulo,SP
Jardim São Francisco de Assis (Parelheiros),Sul,São Paulo,SP
Jardim São Francisco (Zona Sul),Sul,São Paulo,SP
Jardim São Gabriel,Norte,São Paulo,SP
Jardim São Gilberto,Norte,São Paulo,SP
Jardim São Gonçalo,Norte,São Paulo,SP
Jardim São Januário,Norte,São Paulo,SP
Jardim São João,Norte,São Paulo,SP
Jardim São João (Guaianazes),Leste,São Paulo,SP
Jardim São João (Jaguará),Oeste,São Paulo,SP
Jardim São João (São Rafael),Leste,São Paulo,SP
Jardim São João (Zona Leste),Leste,São Paulo,SP
Jardim São João (Zona Norte),Norte,São Paulo,SP
Jardim São Joaquim,Sul,São Paulo,SP
Jardim São Jorge,Norte,São Paulo,SP
Jardim São Jorge (Raposo Tavares),Oeste,São Paulo,SP
Jardim São José,Norte,São Paulo,SP
Jardim São José (Artur Alvim),Leste,São Paulo,SP
Jardim São José (São Mateus),Leste,São Paulo,SP
Jardim São José (Zona Norte),Norte,São Paulo,SP
Jardim São Judas Tadeu,Sul,São Paulo,SP
Jardim São Luís,Sul,São Paulo,SP
Jardim São Luís (Zona Leste),Leste,São Paulo,SP
Jardim São Luís (Zona Norte),Norte,São Paulo,SP
Jardim São Manoel,Norte,São Paulo,SP
Jardim São Martinho,Norte,São Paulo,SP
Jardim São Mateus,Leste,São Paulo,SP
Jardim São Miguel,Leste,São Paulo,SP
Jardim São Nicolau,Norte,São Paulo,SP
Jardim São Paulo (Zona Leste),Leste,São Paulo,SP
Jardim São Paulo (Zona Norte),Norte,São Paulo,SP
Jardim São Pedro,Norte,São Paulo,SP
Jardim São Pedro (Zona Sul),Sul,São Paulo,SP
Jardim São Rafael,Leste,São Paulo,SP
Jardim São Remo,Oeste,São Paulo,SP
Jardim São Ricardo,Norte,São Paulo,SP
Jardim São Roberto,Norte,São Paulo,SP
Jardim São Roque,Norte,São Paulo,SP
Jardim São Savério,Norte,São Paulo,SP
Jardim São Sebastião,Norte,São Paulo,SP
Jardim São Silvestre,Norte,São Paulo,SP
Jardim São Vicente,Norte,São Paulo,SP
Jardim São Vitor,Norte,São Paulo,SP
Jardim Sabarú,Norte,São Paulo,SP
Jardim Sabiá,Sul,São Paulo,SP
Jardim Sabiá II,Sul,São Paulo,SP
Jardim Sagrado Coração,Norte,São Paulo,SP
Jardim Sílvia (Zona Leste),Leste,São Paulo,SP
Jardim Sílvia (Zona Oeste),Oeste,São Paulo,SP
Jardim Samambaia,Norte,São Paulo,SP
Jardim Samara,Norte,São Paulo,SP
Jardim Sandra,Norte,São Paulo,SP
Jardim Sandra Maria,Norte,São Paulo,SP
Jardim Santa Adélia,Leste,São Paulo,SP
Jardim Santa Bárbara,Leste,São Paulo,SP
Jardim Santa Cruz (Campo Grande),Sul,São Paulo,SP
Jardim Santa Cruz (Sacomã),Sul,São Paulo,SP
Jardim Santa Cruz (Zona Norte),Norte,São Paulo,SP
Jardim Santa Edwiges (Capela do Socorro),Sul,São Paulo,SP
Jardim Santa Edwiges (Grajaú),Sul,São Paulo,SP
Jardim Santa Efigênia,Norte,São Paulo,SP
Jardim Santa Emília,Sul,São Paulo,SP
Jardim Santa Etelvina,Leste,São Paulo,SP
Jardim Santa Fé (Zona Oeste),Oeste,São Paulo,SP
Jardim Santa Fé (Zona Sul),Sul,São Paulo,SP
Jardim Santa Francisca Cabrini,Sul,São Paulo,SP
Jardim Santa Gertrudes,Leste,São Paulo,SP
Jardim Santa Helena,Norte,São Paulo,SP
Jardim Santa Inês,Leste,São Paulo,SP
Jardim Santa Josefina,Norte,São Paulo,SP
Jardim Santa Lucrécia,Norte,São Paulo,SP
Jardim Santa Mônica,Norte,São Paulo,SP
Jardim Santa Margarida,Norte,São Paulo,SP
Jardim Santa Maria,Norte,São Paulo,SP
Jardim Santa Rita,Norte,São Paulo,SP
Jardim Santa Tereza,Norte,São Paulo,SP
Jardim Santa Terezinha (Parelheiros),Sul,São Paulo,SP
Jardim Santa Terezinha (Pedreira),Sul,São Paulo,SP
Jardim Santa Terezinha (Zona Leste),Leste,São Paulo,SP
Jardim Santa Zélia,Norte,São Paulo,SP
Jardim Santana,Norte,São Paulo,SP
Jardim Santo Alberto,Norte,São Paulo,SP
Jardim Santo Amaro,Sul,São Paulo,SP
Jardim Santo André,Leste,São Paulo,SP
Jardim Santo Antônio,Sul,São Paulo,SP
Jardim Santo Antoninho,Norte,São Paulo,SP
Jardim Santo Elias,Leste,São Paulo,SP
Jardim Santo Elias (São Miguel),Leste,São Paulo,SP
Jardim Santo Onofre,Norte,São Paulo,SP
Jardim Santos Dumont,Norte,São Paulo,SP
Jardim Sapopemba,Leste,São Paulo,SP
Jardim Sarah,Norte,São Paulo,SP
Jardim Satélite,Norte,São Paulo,SP
Jardim Seckler,Norte,São Paulo,SP
Jardim Selma,Norte,São Paulo,SP
Jardim Senice,Norte,São Paulo,SP
Jardim Sertãozinho,Norte,São Paulo,SP
Jardim Shangrillá (Zona Norte),Norte,São Paulo,SP
Jardim Shangrillá (Zona Sul),Sul,São Paulo,SP
Jardim Silva Teles,Leste,São Paulo,SP
Jardim Silveira,Norte,São Paulo,SP
Jardim Sipramar,Norte,São Paulo,SP
Jardim Soares,Norte,São Paulo,SP
Jardim Solange,Sul,São Paulo,SP
Jardim Somara,Norte,São Paulo,SP
Jardim Soraia,Norte,São Paulo,SP
Jardim Souza,Sul,São Paulo,SP
Jardim Sul São Paulo,Sul,São Paulo,SP
Jardim Suzana,Sul,São Paulo,SP
Jardim Sydney,Sul,São Paulo,SP
Jardim Taboão,Sul,São Paulo,SP
Jardim Taipas,Norte,São Paulo,SP
Jardim Tamoio,Norte,São Paulo,SP
Jardim Tanay,Norte,São Paulo,SP
Jardim Tango,Sul,São Paulo,SP
Jardim Tapera,Sul,São Paulo,SP
Jardim Taquaral,Norte,São Paulo,SP
Jardim Tenani,Norte,São Paulo,SP
Jardim Teresa,Leste,São Paulo,SP
Jardim Textil,Norte,São Paulo,SP
Jardim Thealia,Norte,São Paulo,SP
Jardim Thomaz,Norte,São Paulo,SP
Jardim Tietê,Norte,São Paulo,SP
Jardim Tiro ao Pombo,Oeste,São Paulo,SP
Jardim Toca,Sul,São Paulo,SP
Jardim Três Corações,Sul,São Paulo,SP
Jardim Três Marias,Norte,São Paulo,SP
Jardim Tremembé,Norte,São Paulo,SP
Jardim Triana,Norte,São Paulo,SP
Jardim Tropical,Norte,São Paulo,SP
Jardim Trussardi,Sul,São Paulo,SP
Jardim Tuã,Norte,São Paulo,SP
Jardim Tupã,Norte,São Paulo,SP
Jardim Tupi,Norte,São Paulo,SP
Jardim Turquesa,Sul,São Paulo,SP
Jardim Uberaba,Leste,São Paulo,SP
Jardim Ubirajara (Zona Leste),Leste,São Paulo,SP
Jardim Ubirajara (Zona Sul),Sul,São Paulo,SP
Jardim Uirapuru,Norte,São Paulo,SP
Jardim Umarizal,Norte,São Paulo,SP
Jardim Umuarama,Norte,São Paulo,SP
Jardim União,Norte,São Paulo,SP
Jardim Uniserve,Norte,São Paulo,SP
Jardim Universidade Pinheiros,Oeste,São Paulo,SP
Jardim Vale das Virtudes,Oeste,São Paulo,SP
Jardim Vale do Sol,Norte,São Paulo,SP
Jardim Valparaiso,Sul,São Paulo,SP
Jardim Valquiria,Norte,São Paulo,SP
Jardim Varginha,Sul,São Paulo,SP
Jardim Vaz de Lima,Sul,São Paulo,SP
Jardim Vazani,Sul,São Paulo,SP
Jardim Vera Cruz,Norte,São Paulo,SP
Jardim Vera Cruz (Parelheiros),Sul,São Paulo,SP
Jardim Vera Cruz (Zona Leste),Leste,São Paulo,SP
Jardim Vera Cruz (Zona Sul),Sul,São Paulo,SP
Jardim Verônia,Norte,São Paulo,SP
Jardim Vergueiro,Sul,São Paulo,SP
Jardim Vergueiro (Sacomã),Sul,São Paulo,SP
Jardim Vieira,Norte,São Paulo,SP
Jardim Vila Carrão,Leste,São Paulo,SP
Jardim Vila Formosa,Leste,São Paulo,SP
Jardim Vila Mariana,Sul,São Paulo,SP
Jardim Vila Rica,Norte,São Paulo,SP
Jardim Vilas Boas,Sul,São Paulo,SP
Jardim Vilma,Norte,São Paulo,SP
Jardim Virginia,Norte,São Paulo,SP
Jardim Virginia Bianca,Norte,São Paulo,SP
Jardim Vista Alegre,Norte,São Paulo,SP
Jardim Vista Linda,Norte,São Paulo,SP
Jardim Vitória,Norte,São Paulo,SP
Jardim Vitória Régia,Leste,São Paulo,SP
Jardim Vitória Régia (Zona Norte),Norte,São Paulo,SP
Jardim Vivan,Norte,São Paulo,SP
Jardim Wanda,Norte,São Paulo,SP
Jardim Wilma Flor,Norte,São Paulo,SP
Jardim Yara,Norte,São Paulo,SP
Jardim Ymay,Norte,São Paulo,SP
Jardim Zaira,Sul,São Paulo,SP
Jardim Zilda,Sul,São Paulo,SP
Jardins Recanto das Rosas,Norte,São Paulo,SP
Jordanópolis,Norte,São Paulo,SP
José Bonifácio,Leste,São Paulo,SP
Jurubatuba,Sul,São Paulo,SP
Lajeado,Leste,São Paulo,SP
Lapa,Oeste,São Paulo,SP
Lapa de Baixo,Oeste,São Paulo,SP
Lar São Paulo,Norte,São Paulo,SP
Lauzane Paulista,Norte,São Paulo,SP
Liberdade,Centro,São Paulo,SP
Limão,Norte,São Paulo,SP
Limoeiro,Norte,São Paulo,SP
Loteamento City Jaguará,Oeste,São Paulo,SP
Loteamento Reserva Raposo,Oeste,São Paulo,SP
Luz,Centro,São Paulo,SP
Mandaqui,Norte,São Paulo,SP
Maranhão,Norte,São Paulo,SP
Mata Fria,Norte,São Paulo,SP
Miami Paulista,Sul,São Paulo,SP
Mirandópolis,Sul,São Paulo,SP
Moema,Sul,São Paulo,SP
Moinho Velho,Sul,São Paulo,SP
Mooca,Leste,São Paulo,SP
Morada do Sol,Norte,São Paulo,SP
Morro do Índio,Sul,São Paulo,SP
Morro dos Ingleses,Sul,São Paulo,SP
Morro Grande,Norte,São Paulo,SP
Morumbi,Oeste,São Paulo,SP
Núcleo do Engordador,Norte,São Paulo,SP
Núcleo Lageado,Leste,São Paulo,SP
Nossa Senhora do Ó,Norte,São Paulo,SP
Nova Piraju,Sul,São Paulo,SP
Pacaembu,Oeste,São Paulo,SP
Paineiras do Morumbi,Oeste,São Paulo,SP
Palanque,Sul,São Paulo,SP
Paraíso,Sul,São Paulo,SP
Paraíso do Morumbi,Oeste,São Paulo,SP
Parada,Leste,São Paulo,SP
Parada Inglesa,Norte,São Paulo,SP
Parada XV de Novembro,Leste,São Paulo,SP
Paraisópolis,Sul,São Paulo,SP
Parelheiros,Sul,São Paulo,SP
Pari,Centro,São Paulo,SP
Parque Alto do Rio Bonito,Sul,São Paulo,SP
Parque Alves de Lima,Norte,São Paulo,SP
Parque Amélia,Sul,São Paulo,SP
Parque América,Norte,São Paulo,SP
Parque Amazonas,Norte,São Paulo,SP
Parque Anhanguera,Norte,São Paulo,SP
Parque Anhanguera (São Domingos),Norte,São Paulo,SP
Parque Arariba,Oeste,São Paulo,SP
Parque Artur Alvim,Leste,São Paulo,SP
Parque Atlântico,Leste,São Paulo,SP
Parque Bairro Morumbi,Oeste,São Paulo,SP
Parque Belém,Leste,São Paulo,SP
Parque Boa Esperança,Norte,São Paulo,SP
Parque Bologne,Norte,São Paulo,SP
Parque Boturussu,Leste,São Paulo,SP
Parque Brasil,Norte,São Paulo,SP
Parque Bristol,Sul,São Paulo,SP
Parque Casa de Pedra,Norte,São Paulo,SP
Parque Císper,Leste,São Paulo,SP
Parque Central,Norte,São Paulo,SP
Parque Cocaia,Sul,São Paulo,SP
Parque Colonial,Norte,São Paulo,SP
Parque Continental,Norte,São Paulo,SP
Parque Cristina,Norte,São Paulo,SP
Parque Cruzeiro do Sul,Sul,São Paulo,SP
Parque Cruzeiro do Sul (Vila Formosa),Leste,São Paulo,SP
Parque da Lapa,Oeste,São Paulo,SP
Parque da Mooca,Leste,São Paulo,SP
Parque da Vila Prudente,Leste,São Paulo,SP
Parque das Árvores,Sul,São Paulo,SP
Parque das Cerejeiras,Norte,São Paulo,SP
Parque das Flores,Norte,São Paulo,SP
Parque das Paineiras,Norte,São Paulo,SP
Parque Deizy,Norte,São Paulo,SP
Parque do Castelo,Sul,São Paulo,SP
Parque do Lago,Norte,São Paulo,SP
Parque do Morumbi,Oeste,São Paulo,SP
Parque do Otero,Sul,São Paulo,SP
Parque do Terceiro Lago,Sul,São Paulo,SP
Parque Dom João Neri,Norte,São Paulo,SP
Parque Doroteia,Norte,São Paulo,SP
Parque dos Bancários,Norte,São Paulo,SP
Parque dos Príncipes,Oeste,São Paulo,SP
Parque Edu Chaves,Norte,São Paulo,SP
Parque Esmeralda,Sul,São Paulo,SP
Parque Esperança,Norte,São Paulo,SP
Parque Fernanda,Norte,São Paulo,SP
Parque Flamengo,Sul,São Paulo,SP
Parque Florestal,Norte,São Paulo,SP
Parque Fongaro,Sul,São Paulo,SP
Parque Grajaú,Sul,São Paulo,SP
Parque Guaianazes,Leste,São Paulo,SP
Parque Guarani,Leste,São Paulo,SP
Parque Imperial,Sul,São Paulo,SP
Parque Independência,Sul,São Paulo,SP
Parque Industrial,Norte,São Paulo,SP
Parque Industrial Tomas Edson,Sul,São Paulo,SP
Parque Ipê,Sul,São Paulo,SP
Parque Itaberaba,Norte,São Paulo,SP
Parque Jabaquara,Sul,São Paulo,SP
Parque Lagoa Rica,Sul,São Paulo,SP
Parque Ligia,Norte,São Paulo,SP
Parque Luis Mucciolo,Sul,São Paulo,SP
